family_name,first_name,patronymic,graduation_season,school,tenure_start_date,troupe_city,source,note,entry_id,balletartists_link_status,balletartists_seasons_attested,balletartists_link_note
Голубева,Марія,Константиновна,1890-91,St. Petersburg,1891-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1891 г., въ Императорскую С.-Петербургскую балетную труппу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e001,linked,1891-92–1901-02,Matches this graduate's own Report-stated date (1891-06-01) against a BalletArtists person active 1891-92–1901-02 -- linked on that basis
Горская,Вѣра,Алексѣевна,1890-91,St. Petersburg,1891-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1891 г., въ Императорскую С.-Петербургскую балетную труппу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e002,linked,1891-92,Matches this graduate's own Report-stated date (1891-06-01) against a BalletArtists person active 1891-92 -- linked on that basis
Давыдова,Марія,Ѳедоровна,1890-91,St. Petersburg,1891-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1891 г., въ Императорскую С.-Петербургскую балетную труппу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e003,linked,1891-92–1896-97,Matches this graduate's own Report-stated date (1891-06-01) against a BalletArtists person active 1891-92–1896-97 -- linked on that basis
Киль,Ольга,Александровна,1890-91,St. Petersburg,1891-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1891 г., въ Императорскую С.-Петербургскую балетную труппу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e004,linked,1891-92–1907-08,Matches this graduate's own Report-stated date (1891-06-01) against a BalletArtists person active 1891-92–1907-08 -- linked on that basis
Лобанова,Лидія,Дмитріевна,1890-91,St. Petersburg,1891-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1891 г., въ Императорскую С.-Петербургскую балетную труппу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e005,linked,1891-92–1907-08,Matches this graduate's own Report-stated date (1891-06-01) against a BalletArtists person active 1891-92–1907-08 -- linked on that basis
Маслова,Марія,Николаевна,1890-91,St. Petersburg,1891-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1891 г., въ Императорскую С.-Петербургскую балетную труппу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e006,linked,1891-92–1901-02,Matches this graduate's own Report-stated date (1891-06-01) against a BalletArtists person active 1891-92–1901-02 -- linked on that basis
Матвѣева,Наталья,Николаевна,1890-91,St. Petersburg,1891-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1891 г., въ Императорскую С.-Петербургскую балетную труппу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e007,linked,1894-95–1907-08,Matches this graduate's own Report-stated date (1891-06-01) against a BalletArtists person active 1894-95–1907-08 -- linked on that basis
Уракова,Анна,Петровна,1890-91,St. Petersburg,1891-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1891 г., въ Императорскую С.-Петербургскую балетную труппу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e008,linked,1891-92–1907-08,Matches this graduate's own Report-stated date (1891-06-01) against a BalletArtists person active 1891-92–1907-08 -- linked on that basis
Эрлеръ,Анна,Александровна,1890-91,St. Petersburg,1891-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1891 г., въ Императорскую С.-Петербургскую балетную труппу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e009,linked,1891-92–1905-06,Matches this graduate's own Report-stated date (1891-06-01) against a BalletArtists person active 1891-92–1905-06 -- linked on that basis
Кякштъ,Георгій,Георгіевичъ,1890-91,St. Petersburg,1891-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1891 г., въ Императорскую С.-Петербургскую балетную труппу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e010,linked,1891-92–1907-08,Matches this graduate's own Report-stated date (1891-06-01) against a BalletArtists person active 1891-92–1907-08 -- linked on that basis
Легатъ,Иванъ,Густавовичъ,1890-91,St. Petersburg,1891-10-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го октября 1891 г., въ Императорскую С.-Петербургскую балетную труппу (individually-stated exception date within the cohort)."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e011,linked,"1891–1897 (documented via a single retrospective entry, season 1899-00)","Matches this graduate's own Report-stated date (1891-10-01) against a BalletArtists person active 1891–1897 (documented via a single retrospective entry, season 1899-00) -- linked on that basis (this person's own record documents more than one service period -- 1891-10-01, 1897-09-01 -- e.g. a departure and later re-enrollment, not a different person.)"
Новиковъ,Илья,Степановичъ,1890-91,St. Petersburg,1891-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1891 г., въ Императорскую С.-Петербургскую балетную труппу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e012,linked,1891-92–1907-08,Matches this graduate's own Report-stated date (1891-06-01) against a BalletArtists person active 1891-92–1907-08 -- linked on that basis
Смирновъ,Дмитрій,Дмитріевичъ,1890-91,St. Petersburg,1891-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1891 г., въ Императорскую С.-Петербургскую балетную труппу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e013,linked,1891-92–1907-08,Matches this graduate's own Report-stated date (1891-06-01) against a BalletArtists person active 1891-92–1907-08 -- linked on that basis
Солянниковъ,Николай,Александровичъ,1890-91,St. Petersburg,1891-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1891 г., въ Императорскую С.-Петербургскую балетную труппу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e014,linked,1898-99–1904-05,"Matches this graduate's own Report-stated date (1891-06-01) against a BalletArtists person active 1898-99–1904-05 -- linked on that basis, even though 1 other distinct same-named BalletArtists appearance-cluster(s) also exist (dates too far from this graduate's own record to be considered candidates)."
Сосновскій,Сергѣй,Сергѣевичъ,1890-91,St. Petersburg,1891-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1891 г., въ Императорскую С.-Петербургскую балетную труппу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e015,linked,1891-92–1903-04,Matches this graduate's own Report-stated date (1891-06-01) against a BalletArtists person active 1891-92–1903-04 -- linked on that basis
Берсеньева,Любовь,Ивановна,1890-91,Moscow,1891-09-01,Moscow,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го сентября 1891 г., въ Императорскую Московскую балетную труппу (confirmed consistent with the men's continuation of this same cohort on graduates_1890-91_p003, which the extraction did parse correctly)."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e016,linked,1891-92–1899-00,Matches this graduate's own Report-stated date (1891-09-01) against a BalletArtists person active 1891-92–1899-00 -- linked on that basis
Иванова,Александра,Ивановна,1890-91,Moscow,1891-09-01,Moscow,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го сентября 1891 г., въ Императорскую Московскую балетную труппу (confirmed consistent with the men's continuation of this same cohort on graduates_1890-91_p003, which the extraction did parse correctly)."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e017,linked,1896-97–1899-00,Matches this graduate's own Report-stated date (1891-09-01) against a BalletArtists person active 1896-97–1899-00 -- linked on that basis
Кочетовская,Екатерина,Владиміровна,1890-91,Moscow,1891-09-01,Moscow,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го сентября 1891 г., въ Императорскую Московскую балетную труппу (confirmed consistent with the men's continuation of this same cohort on graduates_1890-91_p003, which the extraction did parse correctly)."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e018,linked,1892-93–1906-07,Matches this graduate's own Report-stated date (1891-09-01) against a BalletArtists person active 1892-93–1906-07 -- linked on that basis
Струкова,Марія,Александровна,1890-91,Moscow,1891-09-01,Moscow,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го сентября 1891 г., въ Императорскую Московскую балетную труппу (confirmed consistent with the men's continuation of this same cohort on graduates_1890-91_p003, which the extraction did parse correctly)."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e019,linked,1891-92–1898-99,Matches this graduate's own Report-stated date (1891-09-01) against a BalletArtists person active 1891-92–1898-99 -- linked on that basis
Фатова,Любовь,Андреевна,1890-91,Moscow,1891-09-01,Moscow,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го сентября 1891 г., въ Императорскую Московскую балетную труппу (confirmed consistent with the men's continuation of this same cohort on graduates_1890-91_p003, which the extraction did parse correctly)."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e020,linked,1891-92–1907-08,Matches this graduate's own Report-stated date (1891-09-01) against a BalletArtists person active 1891-92–1907-08 -- linked on that basis
Френева,Ольга,Николаевна,1890-91,Moscow,1891-09-01,Moscow,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го сентября 1891 г., въ Императорскую Московскую балетную труппу (confirmed consistent with the men's continuation of this same cohort on graduates_1890-91_p003, which the extraction did parse correctly)."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1890-91_p002__e021,linked,1891-92–1894-95,Matches this graduate's own Report-stated date (1891-09-01) against a BalletArtists person active 1891-92–1894-95 -- linked on that basis
Брыкинъ,Дмитрій,Константиновичъ,1890-91,Moscow,1891-09-01,,report_per_row,,graduates_1890-91_p003__e001,linked,1893-94–1907-08,"Matches this graduate's own Report-stated date (1891-09-01) against a BalletArtists person active 1893-94–1907-08 -- linked on that basis (this person's own record documents more than one service period -- 1891-09-01, 1896-09-01 -- e.g. a departure and later re-enrollment, not a different person.)"
Бѣлоусовъ,Филиппъ,Ивановичъ,1890-91,Moscow,1891-09-01,,report_per_row,,graduates_1890-91_p003__e002,linked,1893-94–1907-08,"Matches this graduate's own Report-stated date (1891-09-01) against a BalletArtists person active 1893-94–1907-08 -- linked on that basis (this person's own record documents more than one service period -- 1891-09-01, 1897-09-16 -- e.g. a departure and later re-enrollment, not a different person.)"
Воронцовъ,Владиміръ,Васильевичъ,1890-91,Moscow,1891-09-01,,report_per_row,,graduates_1890-91_p003__e003,linked,1891-92–1906-07,"Matches this graduate's own Report-stated date (1891-09-01) against a BalletArtists person active 1891-92–1906-07 -- linked on that basis (this person's own record documents more than one service period -- 1891-09-01, 1901-09-01 -- e.g. a departure and later re-enrollment, not a different person.)"
Ефимовъ,Иванъ,Михайловичъ,1890-91,Moscow,1891-09-01,,report_per_row,,graduates_1890-91_p003__e004,linked,1891-92–1906-07,Matches this graduate's own Report-stated date (1891-09-01) against a BalletArtists person active 1891-92–1906-07 -- linked on that basis
Сидоровъ,Иванъ,Емельяновичъ,1890-91,Moscow,1891-09-01,,report_per_row,,graduates_1890-91_p003__e005,linked,1891-92–1907-08,Matches this graduate's own Report-stated date (1891-09-01) against a BalletArtists person active 1891-92–1907-08 -- linked on that basis
Смирновъ,Александръ,Митрофановичъ,1890-91,Moscow,1891-09-01,,report_per_row,,graduates_1890-91_p003__e006,linked,1893-94–1904-05,Matches this graduate's own Report-stated date (1891-09-01) against a BalletArtists person active 1893-94–1904-05 -- linked on that basis
Александрова,Антонина,,1891-92,St. Petersburg,1892-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г. въ С.-Петербургскую балетную трупу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1891-92_p000__e001,linked,1900-01–1906-07,Matches this graduate's own Report-stated date (1892-06-01) against a BalletArtists person active 1900-01–1906-07 -- linked on that basis
Васильева,Анна,,1891-92,St. Petersburg,1892-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г. въ С.-Петербургскую балетную трупу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1891-92_p000__e002,linked,1892-93,"Matches this graduate's own Report-stated date (1892-06-01) against a BalletArtists person active 1892-93 -- linked on that basis, even though 1 other distinct same-named BalletArtists appearance-cluster(s) also exist (dates too far from this graduate's own record to be considered candidates)."
Ермолаева,Марія,,1891-92,St. Petersburg,1892-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г. въ С.-Петербургскую балетную трупу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1891-92_p000__e003,linked,1892-93–1896-97,Matches this graduate's own Report-stated date (1892-06-01) against a BalletArtists person active 1892-93–1896-97 -- linked on that basis
Иванова,Вѣра,,1891-92,St. Petersburg,1892-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г. въ С.-Петербургскую балетную трупу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1891-92_p000__e004,linked,1892-93–1896-97,Matches this graduate's own Report-stated date (1892-06-01) against a BalletArtists person active 1892-93–1896-97 -- linked on that basis
Ильина,Елена,,1891-92,St. Petersburg,1892-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г. въ С.-Петербургскую балетную трупу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1891-92_p000__e005,linked,1898-99–1906-07,"Matches this graduate's own Report-stated date (1892-06-01) against a BalletArtists person active 1898-99–1906-07 -- linked on that basis, even though 1 other distinct same-named BalletArtists appearance-cluster(s) also exist (dates too far from this graduate's own record to be considered candidates)."
Лаврентьева,Ольга,,1891-92,St. Petersburg,1892-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г. въ С.-Петербургскую балетную трупу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1891-92_p000__e006,linked,1892-93–1894-95,Matches this graduate's own Report-stated date (1892-06-01) against a BalletArtists person active 1892-93–1894-95 -- linked on that basis
Ниманъ,Марія,,1891-92,St. Petersburg,1892-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г. въ С.-Петербургскую балетную трупу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1891-92_p000__e007,linked,1892-93–1907-08,Matches this graduate's own Report-stated date (1892-06-01) against a BalletArtists person active 1892-93–1907-08 -- linked on that basis
Обухова,Евгенія,,1891-92,St. Petersburg,1892-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г. въ С.-Петербургскую балетную трупу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1891-92_p000__e008,linked,1892-93–1907-08,Matches this graduate's own Report-stated date (1892-06-01) against a BalletArtists person active 1892-93–1907-08 -- linked on that basis
Парфентьева,Прасковья,,1891-92,St. Petersburg,1892-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г. въ С.-Петербургскую балетную трупу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1891-92_p000__e009,linked,1892-93–1895-96,Matches this graduate's own Report-stated date (1892-06-01) against a BalletArtists person active 1892-93–1895-96 -- linked on that basis
Рыхлякова,Наталья,,1891-92,St. Petersburg,1892-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г. въ С.-Петербургскую балетную трупу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1891-92_p000__e010,linked,1893-94–1903-04,Matches this graduate's own Report-stated date (1892-06-01) against a BalletArtists person active 1893-94–1903-04 -- linked on that basis
Цалиссонъ,Полина,,1891-92,St. Petersburg,1892-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г. въ С.-Петербургскую балетную трупу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1891-92_p000__e011,linked,1892-93–1897-98,Matches this graduate's own Report-stated date (1892-06-01) against a BalletArtists person active 1892-93–1897-98 -- linked on that basis
Бекъ,Константинъ,,1891-92,St. Petersburg,1892-06-01,Moscow,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г., кромѣ ученика Бека, который зачисленъ въ Московскую балетную труппу (individually-stated city exception; same date)."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page. Cross-checked against BalletArtists: disagrees. BalletArtists shows Konstantin Bek starting 1892-09-01 in the Moscow troupe -- identically, on all 15 seasons he appears in that roster (1892-93 through 1907-08) -- versus the Report's 1892-06-01. Kept the Report's own date per the tenure_start_date rule; this looks like the same genuine official-appointment-vs-actual-start-date pattern documented for the 1896-97/1897-98 cohorts, not a transcription error.",graduates_1891-92_p000__e012,linked,1892-93–1907-08,Matches this graduate's own Report-stated date (1892-06-01) against a BalletArtists person active 1892-93–1907-08 -- linked on that basis
Никитинъ,Михаилъ,,1891-92,St. Petersburg,1892-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г. въ С.-Петербургскую балетную трупу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1891-92_p000__e013,linked,1892-93–1907-08,Matches this graduate's own Report-stated date (1892-06-01) against a BalletArtists person active 1892-93–1907-08 -- linked on that basis
Облаковъ,Андрей,,1891-92,St. Petersburg,1892-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г. въ С.-Петербургскую балетную трупу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1891-92_p000__e014,linked,1899-00–1907-08,Matches this graduate's own Report-stated date (1892-06-01) against a BalletArtists person active 1899-00–1907-08 -- linked on that basis
Пащенко,Евгеній,,1891-92,St. Petersburg,1892-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г. въ С.-Петербургскую балетную трупу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1891-92_p000__e015,linked,1899-00–1907-08,Matches this graduate's own Report-stated date (1892-06-01) against a BalletArtists person active 1899-00–1907-08 -- linked on that basis
Тихомировъ,Владиміръ,,1891-92,St. Petersburg,1892-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г. въ С.-Петербургскую балетную трупу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page. Cross-checked against BalletArtists: disagrees, and likely a different person. BalletArtists shows a Vladimir Tikhomirov starting 1898-09-01 (consistent across his only 2 seasons on record, 1906-07 and 1907-08) -- a 6-year gap from this graduate's 1892 graduation, too large to plausibly be the same person entering service late. Kept the Report's own date; the BalletArtists match is not used as a correction.",graduates_1891-92_p000__e016,unlikely_match,,"BalletArtists has 1 same-named person(s) on record, but none with a service-start date near this graduate's own Report-stated date (1892-06-01) -- closest is 1898-09-01. Likely a different, same-named person; not linked."
Тихомировъ,Сергѣй,,1891-92,St. Petersburg,1892-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г. въ С.-Петербургскую балетную трупу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1891-92_p000__e017,linked,1906-07–1907-08,Matches this graduate's own Report-stated date (1892-06-01) against a BalletArtists person active 1906-07–1907-08 -- linked on that basis
Яковлевъ,Владиміръ,,1891-92,St. Petersburg,1892-06-01,St. Petersburg,report_hand_verified,"Own row states no date, but the closing assignment paragraph on the same printed page states: ""съ 1-го іюня 1892 г. въ С.-Петербургскую балетную трупу."" Missed by the original extraction (same failure mode as the other report_hand_verified cohorts); read directly off the scanned page.",graduates_1891-92_p000__e018,no_record,,"No BalletArtists record found under this name -- may not have entered Imperial service, or entered under a form this dataset does not capture."
Воронова,Варвара,,1891-92,Moscow,1892-09-01,Moscow,report_per_row,,graduates_1891-92_p002__e001,linked,1892-93–1894-95,Matches this graduate's own Report-stated date (1892-09-01) against a BalletArtists person active 1892-93–1894-95 -- linked on that basis
Грачевская,Екатерина,,1891-92,Moscow,1892-09-01,Moscow,report_per_row,,graduates_1891-92_p002__e002,linked,1897-98–1907-08,Matches this graduate's own Report-stated date (1892-09-01) against a BalletArtists person active 1897-98–1907-08 -- linked on that basis
Дьякъ,Марія,,1891-92,Moscow,1892-09-01,Moscow,report_per_row,,graduates_1891-92_p002__e003,linked,1892-93–1907-08,Matches this graduate's own Report-stated date (1892-09-01) against a BalletArtists person active 1892-93–1907-08 -- linked on that basis
Копьева,Евдокія,,1891-92,Moscow,1892-09-01,Moscow,report_per_row,,graduates_1891-92_p002__e004,linked,1893-94–1907-08,Matches this graduate's own Report-stated date (1892-09-01) against a BalletArtists person active 1893-94–1907-08 -- linked on that basis
Милютина,Александра,,1891-92,Moscow,1892-09-01,Moscow,report_per_row,,graduates_1891-92_p002__e005,linked,1893-94–1907-08,Matches this graduate's own Report-stated date (1892-09-01) against a BalletArtists person active 1893-94–1907-08 -- linked on that basis
Новикова,Екатерина,,1891-92,Moscow,1892-09-01,Moscow,report_per_row,,graduates_1891-92_p002__e006,linked,1892-93–1902-03,"Matches this graduate's own Report-stated date (1892-09-01) exactly against a BalletArtists person (patronymic ""Александровна"") active 1892-93 through 1902-03 -- linked on that basis. A second, unrelated same-named BalletArtists person (patronymic ""Дмитріевна"", starting 1900-09-01) also exists, but her date is 8 years after this graduate's own Report date and belongs instead to a different Новикова, Екатерина who graduated in 1899-00."
Рославлева,Любовь,,1891-92,Moscow,1892-09-01,Moscow,report_per_row,,graduates_1891-92_p002__e007,linked,1892-93–1904-05,Matches this graduate's own Report-stated date (1892-09-01) against a BalletArtists person active 1892-93–1904-05 -- linked on that basis
Бакинъ,Сергѣй,,1891-92,Moscow,1892-09-01,Moscow,report_per_row,,graduates_1891-92_p002__e008,linked,1893-94–1905-06,Matches this graduate's own Report-stated date (1892-09-01) against a BalletArtists person active 1893-94–1905-06 -- linked on that basis
Ивановъ,Евгеній,,1891-92,Moscow,1892-09-01,Moscow,report_per_row,,graduates_1891-92_p002__e009,linked,1898-99–1906-07,Matches this graduate's own Report-stated date (1892-09-01) against a BalletArtists person active 1898-99–1906-07 -- linked on that basis
Кульгинъ,Георгій,,1891-92,Moscow,1892-09-01,Moscow,report_per_row,,graduates_1891-92_p002__e010,no_record,,"No BalletArtists record found under this name -- may not have entered Imperial service, or entered under a form this dataset does not capture."
